date,GDP Deflator Inflation,PCE Inflation,Core PCE Inflation,Output Gap ,actual federal funds rate
1993:Q1,0.023742167,0.028812441,#N/A,-0.03,3.04
1993:Q2,0.02522882,0.028103935,#N/A,-0.029,3.00
1993:Q3,0.024996366,0.025923951,#N/A,-0.033,3.06
1993:Q4,0.026860777,0.026951649,#N/A,-0.023,2.99
1994:Q1,0.022079511,0.022214861,#N/A,-0.015,3.21
1994:Q2,0.019256162,0.018250992,#N/A,-0.012,3.94
1994:Q3,0.020181592,0.019587135,#N/A,-0.003,4.49
1994:Q4,0.021826025,0.024767387,#N/A,0.001,5.17
1995:Q1,0.022824596,0.023312441,#N/A,0.006,5.81
1995:Q2,0.021207887,0.026499103,#N/A,0.006,6.02
1995:Q3,0.01688792,0.02364808,#N/A,-0.003,5.80
1995:Q4,0.01378976,0.018583484,#N/A,0,5.72
1996:Q1,#N/A,#N/A,#N/A,0,5.36
1996:Q2,0.020991855,0.019011546,0.021435228,0,5.24
1996:Q3,0.020170305,0.020271169,0.018518519,0.004,5.31
1996:Q4,0.018840126,0.020393403,0.01843318,0.007,5.28
1997:Q1,0.017628505,0.02323311,0.020183486,0.011,5.28
1997:Q2,0.017963285,0.022005714,0.020743855,0.017,5.52
1997:Q3,0.020703563,0.021316668,0.022077452,0.019,5.53
1997:Q4,0.018586999,0.018813582,0.018433594,0.016,5.51
1998:Q1,0.017977062,0.014880128,0.015643157,0.019,5.52
1998:Q2,0.013920425,0.009923687,0.013877769,0.02,5.50
1998:Q3,0.010149634,0.008552369,0.011066488,0.019,5.53
1998:Q4,0.00925709,0.007341511,0.010950855,0.022,4.86
1999:Q1,0.008840153,0.007746864,0.011812772,0.028,4.73
1999:Q2,0.01023286,0.009979215,0.011869962,0.027,4.75
1999:Q3,0.012452858,0.014549943,0.013333333,0.024,5.09
1999:Q4,0.013234725,0.016769028,0.013187239,0.023,5.31
2000:Q1,0.016033533,0.019974871,0.015076834,0.023,5.68
2000:Q2,0.017589219,0.024353543,0.015735943,0.029,6.27
2000:Q3,0.020096088,0.024700801,0.017060618,0.025,6.52
2000:Q4,0.022633342,0.024769245,0.017007126,0.019,6.47
2001:Q1,0.023376699,0.023803192,0.016557858,0.012,5.59
2001:Q2,0.022729819,0.022625589,0.016939582,0.007,4.33
2001:Q3,0.022975545,0.023189239,0.017038008,0,3.50
2001:Q4,0.023116431,0.015185235,0.012494172,-0.005,2.13
2002:Q1,0.01803589,0.01281158,0.016163493,-0.015,1.73
2002:Q2,0.012544701,0.006387033,0.011723438,-0.013,1.75
2002:Q3,0.010430292,0.010911393,0.016393443,-0.015,1.74
2002:Q4,0.007875964,0.01623172,0.01994852,-0.013,1.44
2003:Q1,0.013432642,0.018727649,0.016526662,-0.023,1.25
2003:Q2,0.016364166,0.022768605,0.01519425,-0.023,1.25
2003:Q3,0.015269655,0.01782078,0.013041116,-0.025,1.02
2003:Q4,0.01723969,0.019323142,0.0129835,-0.022,1.00
2004:Q1,0.01502032,0.014167082,0.008604894,-0.019,1.00
2004:Q2,0.016711371,0.016129985,0.012519861,-0.018,1.01
2004:Q3,0.021594965,0.023311775,0.015513775,-0.015,1.43
2004:Q4,0.021722923,0.021666231,0.01455683,-0.014,1.95
2005:Q1,0.02354954,0.025214809,0.015673714,-0.013,2.47
2005:Q2,0.025403491,0.022911058,0.016336573,-0.013,2.94
2005:Q3,0.023768873,0.025461554,0.019884823,-0.006,3.46
2005:Q4,0.028645625,0.030934811,0.01947689,-0.006,3.98
2006:Q1,0.029905869,0.029742858,0.019049824,-0.006,4.46
2006:Q2,0.031557053,0.029649407,0.01875397,0.001,4.91
2006:Q3,0.032672626,0.033024073,0.022653662,0.006,5.25
2006:Q4,0.029018933,0.028661102,0.024140634,0.002,5.25
2007:Q1,0.024760472,0.018945744,0.022650293,0.004,5.26
2007:Q2,0.026868798,0.021794649,0.022372796,0.004,5.25
2007:Q3,0.027396182,0.023476983,0.020219717,0.006,5.07
2007:Q4,0.023197723,0.02099377,0.018734614,0.007,4.50
2008:Q1,0.026028417,0.033552489,0.021264551,0.001,3.18
2008:Q2,0.021621931,0.033777337,0.020126616,-0.003,2.09
2008:Q3,0.019224894,0.036539234,0.022372834,-0.003,1.94
2008:Q4,0.025984658,0.043946682,0.024521547,-0.014,0.51
2009:Q1,0.018501205,0.017437403,0.0184483,-0.032,0.18
2009:Q2,0.021438217,0.007688963,0.017536459,-0.056,0.18
2009:Q3,0.015581578,-0.001980323,0.01613446,-0.074,0.16
2009:Q4,0.006608252,-0.006423847,0.013302122,-0.076,0.12
2010:Q1,0.007088238,0.012680763,0.014221349,-0.060659074,0.13
2010:Q2,0.00427723,0.019879488,0.013848188,-0.057343005,0.19
2010:Q3,0.008138403,0.019344943,0.014901043,-0.061648018,0.19
2010:Q4,0.012135193,0.014309894,0.012872741,-0.062092428,0.19
2011:Q1,0.013243194,0.011508192,0.008078429,-0.051538647,0.16
2011:Q2,0.015575216,0.015546691,0.008645245,-0.05215717,0.09
2011:Q3,0.020511417,0.024866005,0.012601342,-0.068490362,0.08
2011:Q4,0.023992926,0.028744786,0.01640191,-0.067222723,0.07
2012:Q1,0.02061872,0.025525025,0.017370221,-0.055259546,0.10
2012:Q2,0.018810177,0.022957238,0.019366816,-0.053811062,0.15
2012:Q3,0.016990198,0.01647885,0.018055717,-0.059471534,0.14
2012:Q4,0.016760689,0.015024858,0.016390519,-0.059290886,0.16
2013:Q1,0.017516973,0.01498297,0.014746667,-0.059136597,0.14
2013:Q2,0.016031677,0.011927426,0.012588179,-0.05620191,0.12
2013:Q3,0.014733144,0.011043193,0.01221263,-0.049370041,0.08
2013:Q4,0.013951222,0.01128814,0.011769306,-0.044772598,0.09
2014:Q1,0.013755219,0.008933604,0.011265651,-0.038216867,0.07
2014:Q2,0.01356118,0.010694322,0.011407781,-0.043429751,0.09
2014:Q3,0.015966902,0.015905185,0.014800472,-0.040779344,0.09
2014:Q4,0.015446329,0.014839403,0.014766781,-0.03489199,0.10
2015:Q1,0.01189142,0.011005945,0.014145943,-0.018615005,0.11
,,,,,#N/A
